lit_id	run_date	base	query_id	titulo	autores	ano	venue	tipo	doi	url	versao	status_triagem	motivo_exclusao	claims_relacionados	dataset	claim_atomico	fase	nota
LIT-0001	2026-09-14	nature.com	Q0	Neuronal wiring diagram of an adult brain	Dorkenwald et al.	2024	Nature 634:124-138	journal	10.1038/s41586-024-07558-y	https://doi.org/10.1038/s41586-024-07558-y	2024-10-02	incluido		CLM-009	FlyWire/FAFB	Reconstrucao de cerebro inteiro de femea adulta com 139.255 neuronios e 5x10^7 sinapses quimicas, com acesso por download e programatico	L02	Acesso 2026-09-14; fonte primaria: resumo da Nature
LIT-0002	2026-09-14	nature.com	Q0	Whole-brain annotation and multi-connectome cell typing of Drosophila	Schlegel et al.	2024	Nature 634:139-152	journal	10.1038/s41586-024-07686-5	https://doi.org/10.1038/s41586-024-07686-5	2024-10-02	incluido		CLM-009	FlyWire/FAFB	8.453 tipos celulares anotados; 3.643 propostos previamente no hemibrain; comparabilidade entre os dois connectomas declarada	L02	Companion de LIT-0001; nao confundir anotacao com a release de conectividade
LIT-0003	2026-09-14	zenodo.org	Q0	FlyWire Whole-brain Connectome Connectivity Data	FlyWire Consortium	2024	Zenodo	dataset	10.5281/zenodo.10676866	https://doi.org/10.5281/zenodo.10676866	783.0	incluido		CLM-009	FlyWire/FAFB	Release de conectividade v783 com tabelas de sinapses, neuropilas e root_ids prova de leitura	L02	Snapshot publicado 2024-06-02; Codex serve versoes mais novas
LIT-0004	2026-09-14	biorxiv.org	Q0	Neuronal wiring diagram of an adult brain (preprint)	Dorkenwald et al.	2023	bioRxiv	preprint	10.1101/2023.06.27.546656	https://doi.org/10.1101/2023.06.27.546656	v2023-06-30	excluido	Preprint do artigo publicado (versao vinculada a LIT-0001)	CLM-009	FlyWire/FAFB	Versao previa do mesmo trabalho; nao somar como fonte independente	L02	Deduplicacao por versao
LIT-0005	2026-09-14	codex.flywire.ai	Q0	FlyWire Codex (portal primario)	FlyWire Consortium		s.d.	portal		https://codex.flywire.ai/	viva	incluido		CLM-009	FlyWire/FAFB	Portal oficial de download, acesso programatico e navegacao do FlyWire	L02	Versao viva; usar em conjunto com LIT-0003
LIT-0006	2026-09-14	elifesciences.org	Q0	A connectome and analysis of the adult Drosophila central brain	Scheffer et al.	2020	eLife 9:e57443	journal	10.7554/eLife.57443	https://doi.org/10.7554/eLife.57443	2020-09-03	incluido		CLM-010	hemibrain	Aproximadamente 25.000 neuronios e 20 milhoes de sinapses do cerebro central; dados publicos por NeuPrint e APIs	L02	Comparador obrigatorio do projeto
LIT-0007	2026-09-14	janelia.org	Q0	hemibrain data deposit (hospedagem NeuPrint)	Janelia Research Campus	2020	Janelia	dataset	10.25378/janelia.11676099.v2	https://doi.org/10.25378/janelia.11676099.v2	v2	incluido		CLM-010	hemibrain	Dados completos do hemibrain hospedados em neuprint.janelia.org com compromisso de disponibilidade por 10 anos	L02	DOI Janelia citado na pagina do artigo eLife
LIT-0008	2026-09-14	biorxiv.org	Q0	A Connectome and Analysis of the Adult Drosophila Central Brain (preprint)	Scheffer et al.	2020	bioRxiv	preprint	10.1101/2020.04.07.030213	https://doi.org/10.1101/2020.04.07.030213	v2020-04-09	excluido	Preprint do artigo publicado (versao vinculada a LIT-0006)	CLM-010	hemibrain	Versao previa do mesmo trabalho	L02	Deduplicacao por versao
LIT-0009	2026-09-14	nature.com	Q0	Distributed control circuits across a brain-and-cord connectome	Bates, Phelps, Kim, Yang et al.	2026	Nature	journal	10.1038/s41586-026-10735-w	https://doi.org/10.1038/s41586-026-10735-w	2026-06-08	incluido		CLM-011	BANC	Reconstrucao densa de cerebro e cordao nervoso de femea adulta, com dados abertos em repositorios oficiais	L02	Acesso 2026-09-14; fonte primaria: resumo da Nature
LIT-0010	2026-09-14	dataverse.harvard.edu	Q0	Publication version: Distributed control circuits across a brain-and-cord connectome	Bates et al.	2026	Harvard Dataverse	dataset	10.7910/DVN/7WTH1N	https://doi.org/10.7910/DVN/7WTH1N	materialization 888 (2026-04-17)	incluido		CLM-011	BANC	Snapshot estatico v888 com anotacoes, conectividade e similitude NBLAST contra outros connectomas	L02	Substitui o snapshot v626 do preprint; nao misturar versoes
